id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,last_updated
basic-attention-token,bat,Basic Attention,0.218477,324462290,201,28768543.0,0.218547,0.202222,3.10885,1495713456.9526057,2025-12-22 12:23
ether-fi-staked-eth,eeth,ether.fi Staked ETH,3050.37,321755751,202,301126.0,3050.36,2949.47,1.62199,105481.33436081467,2025-12-22 12:23
arbitrum-bridged-wrapped-eeth,weeth,Arbitrum Bridged Wrapped eETH (Arbitrum),3308.81,317741886,203,845069.0,3308.63,3190.73,1.77792,96190.341649659,2025-12-22 12:23
fartcoin,fartcoin,Fartcoin,0.314957,314742585,204,90207416.0,0.314784,0.282321,7.82654,999979730.906409,2025-12-22 12:23
jasmycoin,jasmy,JasmyCoin,0.00634876,313833242,205,21540886.0,0.00635181,0.00587013,5.26384,49444999677.59027,2025-12-22 12:23
binance-peg-busd,busd,Binance-Peg BUSD,1.003,313165461,206,3606277.0,1.005,0.994542,0.26391,312477997.5095268,2025-12-22 12:23
pendle,pendle,Pendle,1.91,312253953,207,44328195.0,1.92,1.84,-0.5228,164073771.1045088,2025-12-22 12:23
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,15.3,308875521,208,1882119.0,15.32,14.82,0.83071,20194683.80176136,2025-12-22 12:23
the-sandbox,sand,The Sandbox,0.118123,308484928,209,26051556.0,0.118835,0.115213,-0.53681,2613289192.2233224,2025-12-22 12:23
helium,hnt,Helium,1.64,305626063,210,3804498.0,1.66,1.6,2.15189,186321438.090597,2025-12-22 12:23
vision-3,vsn,Vision,0.083705,298533317,211,31592178.0,0.084141,0.081258,0.50143,3566902637.8794923,2025-12-22 12:23
gala,gala,GALA,0.00630641,295395737,212,26529901.0,0.00632613,0.00599175,1.67279,46900555554.30286,2025-12-22 12:23
unit-bitcoin,ubtc,Unit Bitcoin,90089.0,294078760,213,34131014.0,90047.0,87611.0,1.58394,3272.75993401,2025-12-22 12:23
frax-ether,frxeth,Frax Ether,3033.05,293118279,214,736590.0,3031.2,2924.69,1.79123,96806.46782658806,2025-12-22 12:23
mantle-restaked-eth,cmeth,Mantle Restaked ETH,3301.95,288235293,215,5202995.0,3310.61,3186.15,1.75306,87284.60992770422,2025-12-22 12:23
sonic-3,s,Sonic,0.076158,288091348,216,28976849.0,0.077169,0.074012,-0.9934,3784775845.0,2025-12-22 12:23
zebec-network,zbcn,Zebec Network,0.00293406,283609835,217,13093558.0,0.00293699,0.00277319,0.29344,96910057998.58868,2025-12-22 12:23
flow,flow,Flow,0.173497,282733276,218,7629459.0,0.175318,0.16987,-1.0388,1629605139.010412,2025-12-22 12:23
theta-token,theta,Theta Network,0.283199,282595897,219,14243525.0,0.287794,0.27488,-0.87095,1000000000.0,2025-12-22 12:23
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),3050.95,280622090,220,7852247.0,3047.91,2947.03,1.72987,92080.13573588224,2025-12-22 12:23
frax,frax,Legacy Frax Dollar,0.991685,278095676,221,2649423.0,0.992657,0.987514,-0.04152,280353537.0634645,2025-12-22 12:23
astherus-staked-bnb,asbnb,Aster Staked BNB,917.64,275048484,222,150436.0,918.58,896.96,0.95503,299971.9335038299,2025-12-22 12:23
gate-wrapped-btc,gtbtc,Gate Wrapped BTC,90333.0,270631762,223,50341.0,90333.0,87801.0,1.57771,3000.0,2025-12-22 12:23
layerzero,zro,LayerZero,1.32,268049111,224,22620347.0,1.33,1.27,0.21511,202629028.12286997,2025-12-22 12:23
humanity,h,Humanity,0.147854,266060419,225,101456243.0,0.149358,0.133164,5.39184,1825000000.0,2025-12-22 12:23
vaulta,a,Vaulta,0.16478,265496327,226,18318594.0,0.165353,0.159775,-0.34662,1611413422.0978,2025-12-22 12:22
plasma,xpl,Plasma,0.134264,264870214,227,76336002.0,0.135361,0.127479,1.97148,1977777777.7778,2025-12-22 12:23
swissborg,borg,SwissBorg,0.270674,264861503,228,767352.0,0.281335,0.264798,-1.02124,981852443.4419999,2025-12-22 12:23
fidelity-digital-interest-token,fdit,Fidelity Digital Interest Token,1.0,264067137,229,0.0,1.0,1.0,0.0,264067137.03,2025-12-22 12:20
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.089,263183336,230,0.0,1.089,1.089,0.0,241680091.286237,2025-12-22 12:20
decred,dcr,Decred,15.16,260364624,231,2545202.0,16.64,15.03,-8.8098,17185305.82118112,2025-12-22 12:23
binance-wrapped-btc,bbtc,Binance Wrapped BTC,89832.0,260343779,232,2250.72,89807.0,87050.0,1.566,2900.0,2025-12-22 12:23
mimblewimblecoin,mwc,MimbleWimbleCoin,23.54,259138359,233,118732.0,23.58,23.3,0.07742,10996882.0569404,2025-12-22 12:23
kinesis-silver,kag,Kinesis Silver,69.32,257999579,234,2528220.0,69.59,67.67,1.17588,3721963.8196,2025-12-22 12:23
wrapped-ether-mantle-bridge,weth,Mantle Bridged WETH (Mantle),3053.67,255367411,235,2481092.0,3058.01,2942.78,1.98761,83735.67752858478,2025-12-22 12:23
neo,neo,NEO,3.61,254503528,236,9100009.0,3.61,3.45,1.32908,70530000.0,2025-12-22 12:23
wrapped-stx-velar,wstx,Wrapped STX (Velar),0.253104,253103852,237,2805.3,0.253904,0.246124,-0.29692,1000000000.0,2025-12-22 12:23
raydium,ray,Raydium,0.935818,251066769,238,23402592.0,0.935043,0.884652,2.00075,268581313.918168,2025-12-22 12:23
arbitrum-bridged-wsteth-arbitrum,wsteth,Arbitrum Bridged wstETH (Arbitrum),3732.87,243927070,239,1432205.0,3730.35,3601.84,1.66535,65476.51800582582,2025-12-22 12:23
ape-and-pepe,apepe,Ape and Pepe,1.16e-06,243647700,240,24762320.0,1.21e-06,1.16e-06,-1.37201,210000000000000.0,2025-12-22 12:23
undeads-games,uds,Undeads Games,2.38,243360994,241,1143441.0,2.41,2.37,-0.85204,102393857.625,2025-12-22 12:23
decentraland,mana,Decentraland,0.126831,242923021,242,22601114.0,0.1286,0.124983,-1.28166,1919113044.216388,2025-12-22 12:23
wrapped-hype,whype,Wrapped HYPE,25.2,240106844,243,69547942.0,25.61,23.78,3.75507,9551978.329819556,2025-12-22 12:22
zksync,zk,ZKsync,0.02786817,238667212,244,16055356.0,0.02792002,0.02669482,0.4669,8567774770.365367,2025-12-22 12:23
susdai,susdai,Staked USDai,1.059,234973212,245,1401627.0,1.059,1.058,0.01386,221902551.6162044,2025-12-22 12:23
compound-governance-token,comp,Compound,24.1,232999300,246,23234358.0,24.2,23.47,0.03904,9668189.278360886,2025-12-22 12:23
reallink,real,RealLink,0.076473,232436425,247,6438056.0,0.076331,0.073389,2.33141,3041548975.0,2025-12-22 12:23
wrapped-aave-ethereum-usdc,waethusdc,Wrapped Aave Ethereum USDC,1.16,231458907,248,51939103.0,1.18,1.16,0.00547,196721685.375683,2025-12-22 12:23
ibc-bridged-usdc,usdc.n,Noble USDC,1.0,229250100,249,1855528.0,1.013,0.992887,0.05416,229311754.269118,2025-12-22 12:23
monad,mon,Monad,0.02093794,226126013,250,250588581.0,0.02123588,0.01883905,6.0546,10830583396.0,2025-12-22 12:23
